"source_code","target_system","target_code","target_display"
"11406","http://hl7.org/fhir/sid/icd-10-pcs","0HB5XZZ","Excision of Chest Skin, External Approach"
"11406","http://hl7.org/fhir/sid/icd-10-pcs","0HB6XZZ","Excision of Back Skin, External Approach"
"11406","http://hl7.org/fhir/sid/icd-10-pcs","0HB7XZZ","Excision of Abdomen Skin, External Approach"
"11406","http://hl7.org/fhir/sid/icd-10-pcs","0HBBXZZ","Excision of Right Upper Arm Skin, External Approach"
"11406","http://hl7.org/fhir/sid/icd-10-pcs","0HBCXZZ","Excision of Left Upper Arm Skin, External Approach"
"11406","http://hl7.org/fhir/sid/icd-10-pcs",0HBDXZZ,"Excision of Right Lower Arm Skin, External Approach"
"11406","http://hl7.org/fhir/sid/icd-10-pcs","0HBEXZZ","Excision of Left Lower Arm Skin, External Approach"
"11406","http://hl7.org/fhir/sid/icd-10-pcs","0HBHXZZ","Excision of Right Upper Leg Skin, External Approach"
"11406","http://hl7.org/fhir/sid/icd-10-pcs","0HBJXZZ","Excision of Left Upper Leg Skin, External Approach"
"11406","http://hl7.org/fhir/sid/icd-10-pcs","0HBKXZZ","Excision of Right Lower Leg Skin, External Approach"
"11406","http://hl7.org/fhir/sid/icd-10-pcs","0HBLXZZ","Excision of Left Lower Leg Skin, External Approach"
"15847","http://hl7.org/fhir/sid/icd-10-pcs","0JB80ZZ","Excision of Abdomen Subcutaneous Tissue and Fascia, Open Approach"
"19302","http://hl7.org/fhir/sid/icd-10-pcs","0HBT0ZZ","Excision of Right Breast, Open Approach"
"19302","http://hl7.org/fhir/sid/icd-10-pcs","0HBU0ZZ","Excision of Left Breast, Open Approach"
"19302","http://hl7.org/fhir/sid/icd-10-pcs","0HBV0ZZ","Excision of Bilateral Breast, Open Approach"
"21016","http://hl7.org/fhir/sid/icd-10-pcs","0JB00ZZ","Excision of Scalp Subcutaneous Tissue and Fascia, Open Approach"
"21016","http://hl7.org/fhir/sid/icd-10-pcs","0JB10ZZ","Excision of Face Subcutaneous Tissue and Fascia, Open Approach"
"21627","http://hl7.org/fhir/sid/icd-10-pcs","0JB60ZZ","Excision of Chest Subcutaneous Tissue and Fascia, Open Approach"
"21750","http://hl7.org/fhir/sid/icd-10-pcs","0UQ90ZZ","Repair Uterus, Open Approach"
"23616","http://hl7.org/fhir/sid/icd-10-pcs","0PRC0KZ","Replacement of Right Humeral Head with Nonautologous Tissue Substitute, Open Approach"
"23616","http://hl7.org/fhir/sid/icd-10-pcs","0PRD0KZ","Replacement of Left Humeral Head with Nonautologous Tissue Substitute, Open Approach"
"25023","http://hl7.org/fhir/sid/icd-10-pcs","0KNB0ZZ","Release Left Lower Arm and Wrist Muscle, Open Approach"
"25023","http://hl7.org/fhir/sid/icd-10-pcs","0KN90ZZ","Release Right Lower Arm and Wrist Muscle, Open Approach"
"26990","http://hl7.org/fhir/sid/icd-10-pcs","0J9C0ZZ","Drainage of Pelvic Region Subcutaneous Tissue and Fascia, Open Approach"
"27130","http://hl7.org/fhir/sid/icd-10-pcs","0SR90JZ","Replacement of Right Hip Joint with Synthetic Substitute, Open Approach"
"27130","http://hl7.org/fhir/sid/icd-10-pcs","0SRB0JZ","Replacement of Left Hip Joint with Synthetic Substitute, Open Approach"
"27228","http://hl7.org/fhir/sid/icd-10-pcs","0QQ40ZZ","Repair Right Acetabulum, Open Approach"
"27228","http://hl7.org/fhir/sid/icd-10-pcs","0QQ50ZZ","Repair Left Acetabulum, Open Approach"
"27245","http://hl7.org/fhir/sid/icd-10-pcs","0QQ60ZZ","Repair Right Upper Femur, Open Approach"
"27245","http://hl7.org/fhir/sid/icd-10-pcs","0QQ70ZZ","Repair Left Upper Femur, Open Approach"
"27450","http://hl7.org/fhir/sid/icd-10-pcs","0Q860ZZ","Division of Right Upper Femur, Open Approach"
"27450","http://hl7.org/fhir/sid/icd-10-pcs","0Q870ZZ","Division of Left Upper Femur, Open Approach"
"27486","http://hl7.org/fhir/sid/icd-10-pcs","0QWH04Z","Revision of Internal Fixation Device in Left Tibia, Open Approach"
"27486","http://hl7.org/fhir/sid/icd-10-pcs","0QWG04Z","Revision of Internal Fixation Device in Right Tibia, Open Approach"
"27487","http://hl7.org/fhir/sid/icd-10-pcs","0QW604Z","Revision of Internal Fixation Device in Right Upper Femur, Open Approach"
"27487","http://hl7.org/fhir/sid/icd-10-pcs","0QW704Z","Revision of Internal Fixation Device in Left Upper Femur, Open Approach"
"27487","http://hl7.org/fhir/sid/icd-10-pcs","0QWG04Z","Revision of Internal Fixation Device in Right Tibia, Open Approach"
"27487","http://hl7.org/fhir/sid/icd-10-pcs","0QWH04Z","Revision of Internal Fixation Device in Left Tibia, Open Approach"
"27524","http://hl7.org/fhir/sid/icd-10-pcs","0SQC0ZZ","Repair Right Knee Joint, Open Approach"
"27524","http://hl7.org/fhir/sid/icd-10-pcs","0SQD0ZZ","Repair Left Knee Joint, Open Approach"
"27590","http://hl7.org/fhir/sid/icd-10-pcs","0QT60ZZ","Resection of Right Upper Femur, Open Approach"
"27590","http://hl7.org/fhir/sid/icd-10-pcs","0QT70ZZ","Resection of Left Upper Femur, Open Approach"
"27792","http://hl7.org/fhir/sid/icd-10-pcs","0QQJ0ZZ","Repair Right Fibula, Open Approach"
"27792","http://hl7.org/fhir/sid/icd-10-pcs","0QQK0ZZ","Repair Left Fibula, Open Approach"
"27814","http://hl7.org/fhir/sid/icd-10-pcs","0SQF0ZZ","Repair Right Ankle Joint, Open Approach"
"27814","http://hl7.org/fhir/sid/icd-10-pcs","0SQG0ZZ","Repair Left Ankle Joint, Open Approach"
"27828","http://hl7.org/fhir/sid/icd-10-pcs","0QQG0ZZ","Repair Right Tibia, Open Approach"
"27828","http://hl7.org/fhir/sid/icd-10-pcs","0QQH0ZZ","Repair Left Tibia, Open Approach"
"28810","http://hl7.org/fhir/sid/icd-10-pcs","0Y6P0Z0","Detachment at Right 1st Toe, Complete, Open Approach"
