source_code,target_code,target_display,dosage,dosage_unit
"VALSARTAN 80 MG","C09CA03","Valsartan","80","mg"
"ATORVASTATINA (COMO SAL CALCICA) 20 MG","C10AA05","Atorvastatin","20","mg"
"MIRTAZAPINA 30 MG","N06AX11","Mirtazapine","30","mg"
"HIDROCLOROTIAZIDA 25 MG","C03AA03","Hydrochlorothiazide","25","mg"
"AMLODIPINO (COMO BESILATO) 10 MG","C08CA01","Amlodipine","10","mg"
"DIGOXINA 0.25 MG","C01AA05","Digoxin","0.25","mg"
"IRBESARTÁN 150 MG","C09CA04","Irbesartan","150","mg"
"CARVEDILOL 6.25 MG","C07AG02","Carvedilol","6.25","mg"
"PARACETAMOL 500 MG","N02BE01","Paracetamol","500","mg"
"FUROSEMIDA 40 MG","C03CA01","Furosemide","40","mg"
"KETOCONAZOL 200 MG","J02AB02","Ketoconazole","200","mg"
"EVEROLIMUS 0.75 MG","L04AH02","Everolimus","0.75","mg"
"CEFALEXINA 500 MG","J01DB01","Cefalexin","500","mg"
"LEVOSIMENDAN 12.5 MG","C01CX08","Levosimendan","12.5","mg"
"DAPAGLIFLOZINA 10 MG","A10BK01","Dapagliflozin","10","mg"
"CAPTOPRIL 25 MG","C09AA01","Captopril","25","mg"
"ALPRAZOLAM 0.5 MG","N05BA12","Alprazolam","0.5","mg"
"ALOPURINOL 100 MG","M04AA01","Allopurinol","100","mg"
"CLOPIDOGREL 75 MG","B01AC04","Clopidogrel","75","mg"
"TACROLIMUS 1 MG","L04AD02","Tacrolimus","1","mg"
"LOSARTAN 50 MG","C09CA01","Losartan","50","mg"
"MEROPENEM 500 MG","J01DH02","Meropenem","500","mg"
"CARVEDILOL 12.5 MG","C07AG02","Carvedilol","12.5","mg"
"RANITIDINA 300 MG","A02BA02","Ranitidine","300","mg"
"ACIDO ACETILSALICILICO 100 MG","B01AC06","Acetylsalicylic acid","100","mg"
"SILDENAFILO 100 MG","G04BE03","Sildenafil","100","mg"
"ACETAZOLAMIDA 250 MG","S01EC01","Acetazolamide","250","mg"
"METILDOPA 250 MG","C02AB01","Methyldopa (levorotatory)","250","mg"
"CASPOFUNGINA 50 MG","J02AX04","Caspofungin","50","mg"
"HALOPERIDOL 5 MG / ML X 1 ML","N05AD01","Haloperidol","5","mg"
"QUETIAPINA 200 MG","N05AH04","Quetiapine","200","mg"
"ACETILCISTEINA 200 MG","R05CB01","Acetylcysteine","200","mg"
"METRONIDAZOL 500 MG","J01XD01","Metronidazole","500","mg"
"CLONAZEPAM 2 MG","N03AE01","Clonazepam","2","mg"
"BISOPROLOL FUMARATO 5 MG","C07AB07","Bisoprolol","5","mg"
"ISOSORBIDA DINITRATO 10 MG","C01DA08","Isosorbide dinitrate","10","mg"
"ISONIAZIDA 100 MG","J04AC01","Isoniazid","100","mg"
"ACIDO FOLICO 0.5 MG","B03BB01","Folic acid","0.5","mg"
"PREDNISONA 50 MG","H02AB06","Prednisolone","50","mg"
"PREDNISONA 20 MG","H02AB06","Prednisolone","20","mg"
"PREDNISONA 5 MG","H02AB06","Prednisolone","5","mg"
"GABAPENTINA 300 MG","N02BF01","Gabapentin","300","mg"
"CEFTAZIDIMA 1 G","J01DD02","Ceftazidime","1","g"
"DILTIAZEM CLORHIDRATO 60 MG","C08DB01","Diltiazem","60","mg"
"IBUPROFENO 400 MG","M01AE01","Ibuprofen","400","mg"
"VALGANCICLOVIR 450 MG.","J05AB14","Valganciclovir","450","mg"
"AZITROMICINA 500 MG","J01FA10","Azithromycin","500","mg"
"CASPOFUNGIN 70 MG","J02AX04","Caspofungin","70","mg"
"NITROFURANTOINA 100 MG","J01XE01","Nitrofurantoin","100","mg"
"ENALAPRIL MALEATO 10 MG","C09AA02","Enalapril","10","mg"
"ESPIRONOLACTONA 25 MG","C03DA01","Spironolactone","25","mg"
"NITROGLICERINA 5 MG/ML","C01DA02","Glyceryl trinitrate","5","mg/ml"
"AMIODARONA 200 MG","C01BD01","Amiodarone","200","mg"
"CEFEPIMA 1 G","J01RA06","Cefepime and amikacin","1","g"
"LIDOCAINA 10 % SPRAY","C01BB01","Lidocaine"
"CLORFENAMINA MALEATO 4 MG","R06AB04","Chlorphenamine","4","mg"
"ESCOPOLAMINA BUTILBROMURO 10 MG","A03BB01","Butylscopolamine","10","mg"
"TRAMADOL (CLORHIDRATO) 50 MG","N02AX02","Tramadol","50","mg"
"ILOPROST 10 UG/ML","B01AC11","Iloprost","10","ug/ml"
"LINEZOLID 2 MG/ML X 300 ML","J01XX08","Linezolid","600","mg"
"GANCICLOVIR (COMO SAL SÓDICA) 500 MG","J05AB06","Ganciclovir","500","mg"
"HIDROXOCOBALAMINA 1 MG / ML X 1 ML","B03BA03","Hydroxocobalamin","1","mg"
"BASILIXIMAB 20 MG","L04AC02","Basiliximab","20","mg"
"TIAMINA CLORHIDRATO 100 MG","A11DA01","Thiamine (vit B1)","100","mg"
"METILPREDNISOLONA (COMO SUCCINATO SÓDICO) 500 MG","H02AB04","Methylprednisolone","500","mg"
"DIAZEPÁM 5 MG X ML X 2 ML","N05BA01","Diazepam","10","mg"
"LANATOSIDO C 0.2 MG/ML","C01AA06","Lanatoside C","0.2","mg/ml"
"CEFAZOLINA (COMO SAL SÓDICA) 1 G","J01DB04","Cefazolin","1","g"
"LEVOTIROXINA SÓDICA 75 MCG (0.075MG)","H03AA01","Levothyroxine sodium","0.075","mg"
"VECURONIO (BROMURO) 4 MG/ML","M03AC03","Vecuronium","4","mg/ml"
"CEFTRIAXONA (COMO SAL SÓDICA) 1 G (CON DILUYENTE)","J01DD04","Ceftriaxone","1","g"
"FENITOINA (SAL SÓDICA) 50 MG / ML X 2 ML","N03AB02","Phenytoin","100","mg"
"NITROPRUSIATO DE SODIO 50 MG","C02DD01","Nitroprusside","50","mg"
