source_code,target_code,target_name,target_category
"483871000006113","267039000","Ankle swelling","social-history"
"5497861000006113","267039000","Ankle swelling","social-history"
"397897014","267039000","Ankle swelling","social-history"
"317614011","389026000","Ascites","exam"
"6510661000006117","389026000","Ascites","exam"
"6510651000006119","389026000","Ascites","exam"
"6510631000006114","389026000","Ascites","exam"
"317612010","389026000","Ascites","exam"
"6510671000006112","389026000","Ascites","exam"
"6510641000006116","389026000","Ascites","exam"
"1483086017","389026000","Ascites","exam"
"397888010","267036007","Breathlessness","social-history"
"397890011","267036007","Breathlessness","social-history"
"252412011","267036007","Breathlessness","social-history"
"633381000006111","267036007","Breathlessness","social-history"
"5497761000006115","267036007","Breathlessness","social-history"
"5497731000006112","267036007","Breathlessness","social-history"
"5497741000006119","267036007","Breathlessness","social-history"
"525741000006111","267036007","Breathlessness","social-history"
"451467013","267036007","Breathlessness","social-history"
"140461000006116","267036007","Breathlessness","social-history"
"317395018","267036007","Breathlessness","social-history"
"317392015","267036007","Breathlessness","social-history"
"3466331000006118","59495006","Cardiac murmur","exam"
"3466341000006111","59495006","Cardiac murmur","exam"
"317422012","29857009","Chest pain","social-history"
"317995013","29857009","Chest pain","social-history"
"252451018","29857009","Chest pain","social-history"
"406061010","29857009","Chest pain","social-history"
"317439014","29857009","Chest pain","social-history"
"49966017","29857009","Chest pain","social-history"
"3970551000006110","90480005","Cheyne-stokes respiration","social-history"
"3970571000006117","90480005","Cheyne-stokes respiration","social-history"
"3970561000006112","90480005","Cheyne-stokes respiration","social-history"
"401871010","35489007","Depression","exam"
"398841000006119","35489007","Depression","exam"
"3071811000006110","35489007","Depression","exam"
"3071791000006111","35489007","Depression","exam"
"295535012","35489007","Depression","exam"
"613791000006115","35489007","Depression","exam"
"401872015","35489007","Depression","exam"
"376721000006114","35489007","Depression","exam"
"3071801000006112","35489007","Depression","exam"
"376711000006118","35489007","Depression","exam"
"376691000006116","35489007","Depression","exam"
"317025018","404640003","Dizziness","social-history"
"627241000006116","404640003","Dizziness","social-history"
"2857701000006115","22447003","Elevated jugular venous pressure","exam"
"3870351000006114","84229001","Fatigue","social-history"
"317065019","84229001","Fatigue","social-history"
"386731000006116","84229001","Fatigue","social-history"
"667321000006111","84229001","Fatigue","social-history"
"3674571000006114","72196001","Hepatojugular reflux","exam"
"317590012","80515008","Hepatomegaly","imaging"
"317588011","80515008","Hepatomegaly","imaging"
"317589015","80515008","Hepatomegaly","imaging"
"371151012","361137007","Irregular pulse","vital-signs"
"6219971000006116","361137007","Irregular pulse","vital-signs"
"3799281000006110","79890006","Loss of appetite","social-history"
"3799271000006112","79890006","Loss of appetite","social-history"
"3799261000006117","79890006","Loss of appetite","social-history"
"734511000006115","79890006","Loss of appetite","social-history"
"3799251000006119","79890006","Loss of appetite","social-history"
"317234019","79890006","Loss of appetite","social-history"
"317235018","79890006","Loss of appetite","social-history"
"252406018","161947006","Nocturnal cough","social-history"
"3852841000006116","83128009","Oliguria","exam"
"317536016","83128009","Oliguria","exam"
"1234791019","83128009","Oliguria","exam"
"525691000006114","62744007","Orthopnoea","exam"
"317383018","62744007","Orthopnoea","exam"
"11905591000006110","62744007","Orthopnoea","exam"
"41791000006118","62744007","Orthopnoea","exam"
"249291000006117","80313002","Palpitations","exam"
"317328012","80313002","Palpitations","exam"
"252443016","80313002","Palpitations","exam"
"133268018","80313002","Palpitations","exam"
"317330014","80313002","Palpitations","exam"
"3400211000006117","55442000","Paroxysmal nocturnal dyspnea","social-history"
"3400201000006115","55442000","Paroxysmal nocturnal dyspnea","social-history"
"3400191000006118","55442000","Paroxysmal nocturnal dyspnea","social-history"
"198599018","55442000","Paroxysmal nocturnal dyspnea","social-history"
"317208010","271809000","Peripheral edema","exam"
"11905641000006117","271809000","Peripheral edema","exam"
"5529751000006110","271809000","Peripheral edema","exam"
"301668017","60046008","Pleural effusion","imaging"
"301667010","60046008","Pleural effusion","imaging"
"301856012","60046008","Pleural effusion","imaging"
"301662016","60046008","Pleural effusion","imaging"
"218801000006111","60046008","Pleural effusion","imaging"
"288341000006117","48409008","Pulmonary crepitations","exam"
"3283201000006112","48409008","Pulmonary crepitations","exam"
"3283191000006114","48409008","Pulmonary crepitations","exam"
"317448016","48409008","Pulmonary crepitations","exam"
"397904011","267044007","Reduced exercise tolerance","social-history"
"407072012","272030005","Syncope","social-history"
"1222503016","3424008","Tachycardia","vital-signs"
"2553641000006118","3424008","Tachycardia","vital-signs"
"2553651000006116","3424008","Tachycardia","vital-signs"
"317327019","3424008","Tachycardia","vital-signs"
"5529941000006111","271823003","Tachypnoea","vital-signs"
"5529951000006113","271823003","Tachypnoea","vital-signs"
"11905791000006119","271823003","Tachypnoea","vital-signs"
"317386014","271823003","Tachypnoea","vital-signs"
"5529901000006114","271823003","Tachypnoea","vital-signs"
"2518891000006114","1285004","Third heart sound","exam"
"2518881000006111","1285004","Third heart sound","exam"
"2642891000006110","8943002","Weight gain","vital-signs"
"3952531000006117","89362005","Weight loss","vital-signs"
