"source_code","target_code","target_name"
"7610331000006110","I48","Atrial fibrillation"
"256479014","I48","Atrial fibrillation"
"7064701000006118","I48","Atrial fibrillation"
"7803641000006113","I48","Atrial fibrillation"
"6043781000006115","I48","Atrial fibrillation"
"7064691000006118","I48","Atrial fibrillation"
"2675253013","I48","Atrial fibrillation"
"2675306013","I48","Atrial fibrillation"
"408241000000115","I48","Atrial fibrillation"
"12734511000006115","I48","Atrial fibrillation"
"1587611000006119","I48","Atrial fibrillation"
"8218281000006110","I48","Atrial fibrillation"
"7375931000006117","I48","Atrial fibrillation"
"2608211000000115","I48","Atrial fibrillation"
"82343012","I48","Atrial fibrillation"
"9868951000006119","I48","Atrial fibrillation"
"408121000000118","I48","Atrial fibrillation"
"783761000006118","I48","Atrial fibrillation"
"294601000000110","I48","Atrial fibrillation"
"9868941000006116","I48","Atrial fibrillation"
"300132017","I48","Atrial fibrillation"
"408081000000116","I48","Atrial fibrillation"
"7099921000006111","I48","Atrial fibrillation"
"421235014","I48","Atrial fibrillation"
"4586611000006112","I48","Atrial fibrillation"
"1823951000006111","I48","Atrial fibrillation"
"8214691000006119","I48","Atrial fibrillation"
"4586631000006118","I48","Atrial fibrillation"
"408101000000110","I48","Atrial fibrillation"
"5669611000006119","I48","Atrial fibrillation"
"636721000000112","I48","Atrial fibrillation"
"300130013","I48","Atrial fibrillation"
"8439861000006115","I48","Atrial fibrillation"
"406861000000119","I48","Atrial fibrillation"
"12736851000006112","I48","Atrial fibrillation"
"8037691000006113","I48","Atrial fibrillation"
"6016401000006115","I48","Atrial fibrillation"
"4586641000006111","I48","Atrial fibrillation"
"12626271000006110","I48","Atrial fibrillation"
"350465014","I48","Atrial fibrillation"
"12734281000006112","I48","Atrial fibrillation"
"9988012","I48","Atrial fibrillation"
"7803631000006115","I48","Atrial fibrillation"
"7100011000006116","I48","Atrial fibrillation"
"3299911000006116","I48","Atrial fibrillation"
"5669601000006117","I48","Atrial fibrillation"
"636701000000115","I48","Atrial fibrillation"
"1587631000006113","I48","Atrial fibrillation"
"408141000000113","I48","Atrial fibrillation"
"2608251000000116","I48","Atrial fibrillation"
"5057281000006117","I48","Atrial fibrillation"
"256478018","I48","Atrial fibrillation"
"5057261000006110","I48","Atrial fibrillation"
"5669591000006113","I48","Atrial fibrillation"
"5887651000006116","I48","Atrial fibrillation"
"456154015","I48","Atrial fibrillation"
"8218591000006111","I48","Atrial fibrillation"
"I484","I48","Atrial fibrillation"
"I481","I48","Atrial fibrillation"
"I489","I48","Atrial fibrillation"
"I48","I48","Atrial fibrillation"
"I482","I48","Atrial fibrillation"
"I480","I48","Atrial fibrillation"
"I483","I48","Atrial fibrillation"
"I255","I42","Cardiomyopathies"
"I43","I42","Cardiomyopathies"
"I425","I42","Cardiomyopathies"
"I428","I42","Cardiomyopathies"
"I429","I42","Cardiomyopathies"
"I427","I42","Cardiomyopathies"
"I423","I42","Cardiomyopathies"
"I426","I42","Cardiomyopathies"
"I420","I42","Cardiomyopathies"
"I421","I42","Cardiomyopathies"
"I422","I42","Cardiomyopathies"
"18472010","I50","Heart failure"
"139482012","I50","Heart failure"
"216207010","I50","Heart failure"
"300179017","I50","Heart failure"
"300180019","I50","Heart failure"
"300190010","I50","Heart failure"
"350484012","I50","Heart failure"
"403107019","I50","Heart failure"
"411506018","I50","Heart failure"
"2159197017","I50","Heart failure"
"2159198010","I50","Heart failure"
"2694523019","I50","Heart failure"
"905391000006119","I50","Heart failure"
"300217019","I50","Heart failure"
"305601017","I50","Heart failure"
"223981000000118","I50","Heart failure"
"370281000006118","I50","Heart failure"
"741681000006111","I50","Heart failure"
"3182541000006117","I50","Heart failure"
"6895651000006113","I50","Heart failure"
"12490061000006118","I50","Heart failure"
"3182551000006115","I50","Heart failure"
"7321121000006119","I50","Heart failure"
"3868311000006117","I50","Heart failure"
"728671000006119","I50","Heart failure"
"789941000006117","I50","Heart failure"
"2549208013","I50","Heart failure"
"3868341000006118","I50","Heart failure"
"3886061000006119","I50","Heart failure"
"395772015","I50","Heart failure"
"2616473014","I50","Heart failure"
"1488804017","I50","Heart failure"
"412678013","I50","Heart failure"
"350413012","I50","Heart failure"
"141306010","I50","Heart failure"
"147247018","I50","Heart failure"
"1576321000006113","I50","Heart failure"
"741701000006114","I50","Heart failure"
"5586371000006119","I50","Heart failure"
"139475013","I50","Heart failure"
"504901000006118","I50","Heart failure"
"3868351000006116","I50","Heart failure"
"5573991000006118","I50","Heart failure"
"4005301000006110","I50","Heart failure"
"3886071000006114","I50","Heart failure"
