source_code,ef_range,rounding_ef_value
1661371000000112,0.4-0.6,0.5
1647701000000118,0.4-0.6,0.5
2159198010,0.4-0.6,0.5
1489358014,0.4-0.6,0.5
2227501000000110,0.4-0.6,0.5
7321121000006119,0.4-0.6,0.5
970851000006119,0.4-0.6,0.5
2534182016,0.4-0.6,0.5
635781000006111,0.4-0.6,0.5
262687015,0.4-0.6,0.5
2159197017,0.2-0.4,0.3
784191000006110,0.2-0.4,0.3
411506018,0.2-0.4,0.3
299796018,0.2-0.4,0.3
9833971000006112,0.2-0.4,0.3
9834021000006114,0.2-0.4,0.3
9833991000006113,0.2-0.4,0.3
9834051000006117,0.2-0.4,0.3
2694523019,0.2-0.4,0.3
216207010,0.2-0.4,0.3
7510321000006115,0.2-0.4,0.3
7119761000006112,0.2-0.4,0.3
7056281000006118,0.2-0.4,0.3
1991651000006115,0.2-0.4,0.3
34556015,0.2-0.4,0.3
6615901000006114,0.2-0.4,0.3
7560351000006111,0.2-0.4,0.3
7560361000006113,0.2-0.4,0.3
3254291000006112,0.2-0.4,0.3
6850191000006114,0.2-0.4,0.3
7560331000006116,0.2-0.4,0.3
2840701000006117,0.2-0.4,0.3
3706941000006119,0.2-0.4,0.3
3901271000006117,0.2-0.4,0.3
3219591000006115,0.2-0.4,0.3
2543761000006114,0.2-0.4,0.3
2676691000006113,0.2-0.4,0.3
7475751000006117,0.2-0.4,0.3
2757771000006111,0.2-0.4,0.3
2530931000006112,0.2-0.4,0.3
3687171000006119,0.2-0.4,0.3
3075181000006114,0.2-0.4,0.3
3314361000006111,0.2-0.4,0.3
3452461000006110,0.2-0.4,0.3
7475781000006113,0.2-0.4,0.3
3075191000006112,0.2-0.4,0.3
3087841000006114,0.2-0.4,0.3
3360091000006112,0.2-0.4,0.3
3389851000006118,0.2-0.4,0.3
3988271000006114,0.2-0.4,0.3
6850201000006112,0.2-0.4,0.3
3138401000006112,0.2-0.4,0.3
3787161000006116,0.2-0.4,0.3
7810851000006118,0.2-0.4,0.3
7786921000006119,0.2-0.4,0.3
3878171000006116,0.2-0.4,0.3
7476051000006113,0.2-0.4,0.3
2991241000006116,0.2-0.4,0.3
2631011000006118,0.2-0.4,0.3
4193381000006112,0.2-0.4,0.3
7475741000006119,0.2-0.4,0.3
3457111000006119,0.2-0.4,0.3
2631021000006114,0.2-0.4,0.3
3053021000006110,0.2-0.4,0.3
2595681000006117,0.2-0.4,0.3
3152591000006116,0.2-0.4,0.3
3687131000006117,0.2-0.4,0.3
3859111000006117,0.2-0.4,0.3
300040013,0.2-0.4,0.3
7791661000006111,0.2-0.4,0.3
3314371000006116,0.2-0.4,0.3
2699901000006110,0.2-0.4,0.3
3914551000006112,0.2-0.4,0.3
7560341000006114,0.2-0.4,0.3
2964231000006113,0.2-0.4,0.3
2699911000006113,0.2-0.4,0.3
6615851000006116,0.2-0.4,0.3
6615891000006110,0.2-0.4,0.3
2969451000006116,0.2-0.4,0.3
7791641000006112,0.2-0.4,0.3
3553111000006118,0.2-0.4,0.3
2676711000006111,0.2-0.4,0.3
7476081000006117,0.2-0.4,0.3
7850181000006112,0.2-0.4,0.3
3966281000006113,0.2-0.4,0.3
2529901000006111,0.2-0.4,0.3
2676701000006113,0.2-0.4,0.3
3859091000006114,0.2-0.4,0.3
7688021000006114,0.2-0.4,0.3
I255,0.2-0.4,0.3
I420,0.2-0.4,0.3
