source_code,target_code,target_name,target_unit
"923851000006110","29463-7","Weight","kg"
"1910901000006116","29463-7","Weight","kg"
"1780175010","29463-7","Weight","kg"
"59281000006111","29463-7","Weight","kg"
"3484791000006113","29463-7","Weight","kg"
"253677014","29463-7","Weight","kg"
"451201014","29463-7","Weight","kg"
"2934311000006118","29463-7","Weight","kg"
"2536041016","29463-7","Weight","kg"
"253688015","29463-7","Weight","kg"
"1910911000006118","29463-7","Weight","kg"
"2934301000006116","29463-7","Weight","kg"
"1910921000006114","8302-2","Height","cm"
"253669010","8302-2","Height","cm"
"1910931000006112","8302-2","Height","cm"
"923831000006115","8302-2","Height","cm"
"253676017","8302-2","Height","cm"
"5256151000006111","8302-2","Height","cm"
"264757017","39156-5","BMI","kg/m2"
"253845014","39156-5","BMI","kg/m2"
"3484781000006110","39156-5","BMI","kg/m2"
"2310101000000115","39156-5","BMI","kg/m2"
"2474325012","39156-5","BMI","kg/m2"
"1753341000006111","39156-5","BMI","kg/m2"
"2326491000000114","39156-5","BMI","kg/m2"
"253848011","39156-5","BMI","kg/m2"
"1753281000006110","39156-5","BMI","kg/m2"
"453856012","39156-5","BMI","kg/m2"
"253844013","39156-5","BMI","kg/m2"
"401534016","39156-5","BMI","kg/m2"
"923861000006112","39156-5","BMI","kg/m2"
"264752011","39156-5","BMI","kg/m2"
"1808061000006114","39156-5","BMI","kg/m2"
"1753311000006112","39156-5","BMI","kg/m2"
"1753321000006116","39156-5","BMI","kg/m2"
"1753301000006114","39156-5","BMI","kg/m2"
"1753331000006118","39156-5","BMI","kg/m2"
"2326311000000114","39156-5","BMI","kg/m2"
"2326451000000118","39156-5","BMI","kg/m2"
"1900331000006113","39156-5","BMI","kg/m2"
"1551651000000111","39156-5","BMI","kg/m2"
"253846010","39156-5","BMI","kg/m2"
"1808071000006119","39156-5","BMI","kg/m2"
"264760012","39156-5","BMI","kg/m2"
"264756014","39156-5","BMI","kg/m2"
"2196071000000116","39156-5","BMI","kg/m2"
"8286991000006119","39156-5","BMI","kg/m2"
"264769013","39156-5","BMI","kg/m2"
"264768017","39156-5","BMI","kg/m2"
"2350241000000116","39156-5","BMI","kg/m2"
"2423851000000119","39156-5","BMI","kg/m2"
"100716012","39156-5","BMI","kg/m2"
"3484801000006114","39156-5","BMI","kg/m2"
"1753271000006112","39156-5","BMI","kg/m2"
"2350261000000115","39156-5","BMI","kg/m2"
"264758010","39156-5","BMI","kg/m2"
"1753291000006113","39156-5","BMI","kg/m2"
"253847018","39156-5","BMI","kg/m2"
"2160062010","39156-5","BMI","kg/m2"
"264759019","39156-5","BMI","kg/m2"
"264753018","39156-5","BMI","kg/m2"
"4405131000006111","8277-6","BSA","m2"
"991111000006113","8277-6","BSA","m2"
"443403011","8277-6","BSA","m2"
"5900201000006112","8277-6","BSA","m2"
"7890561000006119","8277-6","BSA","m2"
"458803012","8480-6","Systolic blood pressure","mmHg"
"1780182014","8480-6","Systolic blood pressure","mmHg"
"2159157015","8480-6","Systolic blood pressure","mmHg"
"1994021000006115","8480-6","Systolic blood pressure","mmHg"
"2616361000000114","8480-6","Systolic blood pressure","mmHg"
"2418961000000111","8480-6","Systolic blood pressure","mmHg"
"298281000000114","8480-6","Systolic blood pressure","mmHg"
"1928511000006116","8480-6","Systolic blood pressure","mmHg"
"125251000006114","8480-6","Systolic blood pressure","mmHg"
"2533615017","8480-6","Systolic blood pressure","mmHg"
"458812014","8480-6","Systolic blood pressure","mmHg"
"3676271000006117","8480-6","Systolic blood pressure","mmHg"
"1808011000006111","8480-6","Systolic blood pressure","mmHg"
"1808041000006110","8480-6","Systolic blood pressure","mmHg"
"8057971000006116","8480-6","Systolic blood pressure","mmHg"
"2159155011","8480-6","Systolic blood pressure","mmHg"
"114311000006111","8480-6","Systolic blood pressure","mmHg"
"458816012","8462-4","Diastolic blood pressure","mmHg"
"2533636015","8462-4","Diastolic blood pressure","mmHg"
"298311000000112","8462-4","Diastolic blood pressure","mmHg"
"2616401000000117","8462-4","Diastolic blood pressure","mmHg"
"8057991000006115","8462-4","Diastolic blood pressure","mmHg"
"1808051000006112","8462-4","Diastolic blood pressure","mmHg"
"2159156012","8462-4","Diastolic blood pressure","mmHg"
"2418921000000115","8462-4","Diastolic blood pressure","mmHg"
"1808021000006115","8462-4","Diastolic blood pressure","mmHg"
"125231000006119","8462-4","Diastolic blood pressure","mmHg"
"1780183016","8462-4","Diastolic blood pressure","mmHg"
"458825018","8462-4","Diastolic blood pressure","mmHg"
"619931000006119","8462-4","Diastolic blood pressure","mmHg"
"1928521000006112","8462-4","Diastolic blood pressure","mmHg"
"2159158013","8462-4","Diastolic blood pressure","mmHg"
"1993951000006110","8462-4","Diastolic blood pressure","mmHg"
"6521771000006119","2708-6","SpO2","%"
"6521761000006114","2708-6","SpO2","%"
"4087721000006112","2708-6","SpO2","%"
"1807001000006114","2708-6","SpO2","%"
"1854751000006110","2708-6","SpO2","%"
"1806991000006118","2708-6","SpO2","%"
"1485401019","2708-6","SpO2","%"
"487210016","8867-4","Heart rate","bpm"
"2378591000000110","8867-4","Heart rate","bpm"
